Brand_Reg,count
AIWA,44
AKAI,27
ALTIUS,6
AOA,5
ARK,1
AVEL INNOVATIONS,3
AVIO,5
BAUHN,84
BELGIQUE,7
BLAUPUNKT,69
BLUESEN,6
BREWO,1
BROOKLYN,1
CAIXUN,55
CHIQ,52
COOCAA,11
DECAMAX,1
DEVANTI,1
DGTEC,14
DIGITECH,9
DISHTV,3
DYNALINK,1
EKO,98
EMETE,55
ENGLAON,34
EVOKE,10
FFALCON,35
FPD,3
FURRION,4
GORILLA,2
HISENSE,345
HUBBL,1
HUBBL GLASS,2
HYUNDAI,6
ILUMA,14
JVC,125
KODAK,5
KOGAN,745
KONIC,17
KONKA,41
LG,680
LINSAR,35
LOEWE,36
LSP TV,1
METZ,6
MITSUMARU,1
MONSTER,4
MYVI,5
PALSONIC,1
PANASONIC,94
PHILIPS,117
PLATINUM,5
POLAROID,12
PRISM+,8
Q.BELL,2
QBELL,8
RCA,1
S VISION,1
SAMSUNG,454
SAMSUNG ELECTRONICS,731
SHARETV,1
SHARP,16
"SHENZHEN XINCHAODA TECHNOLOGY CO., LTD",4
SIGNIFY,1
SKYWORTH,16
SMARTTECH,5
SMTV,5
SONIQ,1
SONY,92
SPARK ELECTRONICS,25
SPHERE,13
STAN CASH,1
SVISION,5
SYLVOX,131
TAVICE,1
TCL,125
TEAC,15
TECO,10
TELEFUNKEN,17
TENET,1
THOMSON,3
TOSHIBA,56
TRANSONIC,2
UNIDEN,3
VDT,1
VEON,82
VISIONE,2
WALTON,24
WINTAL,1
YOKOHAMA,3
ZEN TV,4
