"Submit_ID","Brand_Reg","Model_No","Family Name","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Act_stnd_power","Act_stnd_time","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","SubmitStatus","ExpDate","GrandDate","Product Class","Availability Status","Star2","Star Rating Index","Star Image Large","Star Image Small","Power supply","Tuner Type","What test standard was used","Registration Number","Regulatory Standard","screensize_inch"
62312,"THOMSON","CTF2291","N/A","New Zealand","China",55.073,1296,"LCD","0.39","0.0","0.0",25,"7.0","7.07053423979254",94,"Approved","2112-02-15","N/A","Single product class","Unavailable",5,"5.07053423979254","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0042","AS/NZS 62087.2.2:2010 (Legacy)",22
63695,"PANASONIC","TH-L32E5Z","N/A","New Zealand","Malaysia",80.103,2743.14,"LCD (LED)","0.25","8.3","0.15",39,"7.0","7.57155569904869",145,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",5.5,"5.57155569904869","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0037","AS/NZS 62087.2.2:2010 (Legacy)",32
63696,"PANASONIC","TH-L42E5Z","N/A","New Zealand","Malaysia",106.697,4863.9,"LCD (LED)","0.15","13.7","0.15",56,"8.0","8.14864174230585",206,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",6,"6.14864174230585","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0040","AS/NZS 62087.2.2:2010 (Legacy)",42
63697,"PANASONIC","TH-L47E5Z","N/A","New Zealand","Malaysia",119.265,6076.462,"LCD (LED)","0.15","13.2","0.15",70,"8.0","8.04089011632996",257,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",6,"6.04089011632996","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0039","AS/NZS 62087.2.2:2010 (Legacy)",47
63698,"PANASONIC","TH-P42UT50Z","N/A","New Zealand","Thailand",106.561,4849.38,"Plasma","0.4","14.0","0.3",112,"5.0","5.01978360828753",413,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",3,"3.01978360828753","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0038","AS/NZS 62087.2.2:2010 (Legacy)",42
63703,"PANASONIC","TH-P50UT50Z","N/A","New Zealand","Thailand",126.803,6873.1,"Plasma","0.4","14.0","0.3",137,"5.5","5.52075085235946",504,"Superseded","2112-02-14","2013-05-21","Single product class","Unavailable",3.5,"3.52075085235946","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0041","AS/NZS 62087.2.2:2010 (Legacy)",50
63742,"PANASONIC","TH-P42X50Z","N/A","New Zealand","Thailand",106.561,4849.38,"Plasma","0.4","13.0","0.3",89,"6.0","6.03881302166937",329,"Superseded","2112-02-16","2013-05-21","Single product class","Unavailable",4,"4.03881302166937","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0043","AS/NZS 62087.2.2:2010 (Legacy)",42
63746,"PANASONIC","TH-P50X50Z","N/A","New Zealand","Thailand",126.803,6873.1,"Plasma","0.4","13.0","0.3",122,"6.0","6.03859409563743",449,"Superseded","2112-02-16","2013-05-21","Single product class","Unavailable",4,"4.03859409563743","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0044","AS/NZS 62087.2.2:2010 (Legacy)",50
69123,"VISIONE","VISLED3260HD","N/A","New Zealand","China",80.039,2736.7112736,"LCD (LED)","0.32","0.31","0.0",23.07,"9.0","9.90421369585891",86,"Superseded","2112-11-01","2013-05-21","Single product class","Unavailable",7,"7.90421369585891","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0075","AS/NZS 62087.2.2:2010 (Legacy)",32
69344,"VEON","VN3228LED-FHD","N/A","New Zealand","China",80.133,2744.0136,"LCD (LED)","-","-","-",50,"6.0","6.48091968688077",185,"Approved","2112-11-16","N/A","Single product class","Unavailable",0,"-","N/A","N/A","Internal","Digital","AS/NZS 62087.1:2010","ZTV0076","AS/NZS 62087.2.2:2011",32
69399,"VEON","VN3928LED","N/A","New Zealand","China",97.971,4101.2817,"LCD (LED)","-","-","-",70,"6.0","6.47931358089186",258,"Approved","2112-11-16","N/A","Single product class","Unavailable",0,"-","N/A","N/A","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0077","AS/NZS 62087.2.2:2011",39
69400,"VEON","VN4628LED-FHD","N/A","New Zealand","China",116.812,5830.6587,"LCD (LED)","-","-","-",90,"6.0","6.74132481622491",331,"Approved","2112-11-16","N/A","Single product class","Unavailable",0,"-","N/A","N/A","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0078","AS/NZS 62087.2.2:2011",46
69507,"VEON","VN3059LCD-F8","N/A","New Zealand","China",80.043,2737.0771,"LCD","0.45","0.0","0.0",75.52,"4.5","4.64675781356529",278,"Approved","2112-12-06","N/A","Single product class","Unavailable",0,"-","N/A","N/A","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0084","AS/NZS 62087.2.2:2011",32
69490,"VEON","VN46D1LCD","N/A","New Zealand","China",116.818,5833.14,"LCD","-","-","-",155,"4.0","4.3230466900253",568,"Approved","2112-11-22","N/A","Single product class","Unavailable",0,"-","N/A","N/A","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0079","AS/NZS 62087.2.2:2011",46
69513,"TRANSONIC","TC46D6LCD","N/A","New Zealand","China",116.818,5833.14,"LCD","-","-","-",155,"4.0","4.3230466900253",568,"Approved","2112-11-23","N/A","Single product class","Unavailable",0,"-","N/A","N/A","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0080","AS/NZS 62087.2.2:2011",46
69541,"VEON","VN1980LED/DVD-C","N/A","New Zealand","China",47.013,944.1792,"LCD (LED)","0.44","6.37","0.0",19.08,"7.0","7.15414659207098",76,"Superseded","2112-12-04","2013-05-21","Single product class","Unavailable",5,"5.15414659207098","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0082","AS/NZS 62087.2.2:2010 (Legacy)",19
69594,"TRANSONIC","TC2430LED/DVD-C","N/A","New Zealand","China",59.809,1528.497216,"LCD (LED)","0.32","6.35","0.0",24.41,"7.0","7.56430735398155",94,"Superseded","2112-12-06","2013-05-21","Single product class","Unavailable",5.5,"5.56430735398155","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0083","AS/NZS 62087.2.2:2010 (Legacy)",24
69595,"VEON","VN2280LED-FHD-C","N/A","New Zealand","China",54.687,1277.919504,"LCD (LED)","0.37","6.132","0.0",22.86,"7.0","7.27470223434371",89,"Superseded","2112-12-04","2013-05-21","Single product class","Unavailable",5,"5.27470223434371","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0081","AS/NZS 62087.2.2:2010 (Legacy)",22
69835,"KONKA","KDL32MS611A","KDL32MS611A","New Zealand","China",80.623,2800,"LCD (LED)","0.24","0.0","0.0",48.2,"6.0","6.31726584060424",195,"Superseded","2113-01-14","2013-05-21","Single product class","Unavailable",4,"4.31726584060424","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0087","AS/NZS 62087.2.2:2010 (Legacy)",32
69835,"KONKA","KDL32MS65A","KDL32MS611A","New Zealand","China",80.623,2800,"LCD (LED)","0.24","0.0","0.0",48.2,"6.0","6.31726584060424",195,"Superseded","2113-01-14","2013-05-21","Single product class","Unavailable",4,"4.31726584060424","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0087","AS/NZS 62087.2.2:2010 (Legacy)",32
69836,"KONKA","KDL39MS615A","N/A","New Zealand","China",98.489,4128,"LCD (LED)","0.36","0.0","0.0",69.4,"6.0","6.10557172102857",282,"Superseded","2113-01-14","2013-05-21","Single product class","Unavailable",4,"4.10557172102857","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0088","AS/NZS 62087.2.2:2010 (Legacy)",39
70245,"KONKA","KDL42MS611A","N/A","New Zealand","China",106.729,4867.7366,"LCD (LED)","0.38","0.0","0.0",62.2,"7.0","7.24848754614673",252,"Superseded","2113-01-25","2013-05-21","Single product class","Unavailable",5,"5.24848754614673","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png","EPS","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0090","AS/NZS 62087.2.2:2010 (Legacy)",42
70682,"VEON","VN37A3LED","N/A","New Zealand","China",93.934,3767.4,"LCD (LED)","-","-","-",48.5,"7.0","7.79459900216512",179,"Approved","2113-02-21","N/A","Single product class","Unavailable",0,"-","N/A","N/A","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ZTV0105","AS/NZS 62087.2.2:2011",37
