"Submit_ID","Brand_Reg","Model_No","Family Name","SoldIn","Country","screensize","Screen_Area","Screen_Tech","Pasv_stnd_power","Act_stnd_power","Act_stnd_time","Avg_mode_power","Star","SRI","Labelled energy consumption (kWh/year)","SubmitStatus","ExpDate","GrandDate","Product Class","Availability Status","Star2","Star Rating Index","Star Image Large","Star Image Small","Power supply","Tuner Type","What test standard was used","Registration Number","Regulatory Standard","screensize_inch"
136860,"EKO","K70USW","N/A","Australia","China",176.566,13118.7698,"LCD (LED)","0.32","0.4","4.0",139.54,"N/A","N/A",572,"Approved","2026-04-15","N/A","Single product class","Unavailable",4.5,"4.646994909492895","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4445","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",70
136913,"LOEWE","BILD 1.43","LOEWE","Australia","Germany",108.037,4983.18,"LCD (LED)","0.26","36.6","1.0",73.7,"N/A","N/A",284,"Approved","2026-04-19","N/A","Single product class","Unavailable",3.5,"3.803059082465918","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4448","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",43
136913,"LOEWE","BILD 2.43","LOEWE","Australia","Germany",108.037,4983.18,"LCD (LED)","0.26","36.6","1.0",73.7,"N/A","N/A",284,"Approved","2026-04-19","N/A","Single product class","Unavailable",3.5,"3.803059082465918","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4448","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",43
136913,"LOEWE","BILD 3.43","LOEWE","Australia","Germany",108.037,4983.18,"LCD (LED)","0.26","36.6","1.0",73.7,"N/A","N/A",284,"Approved","2026-04-19","N/A","Single product class","Unavailable",3.5,"3.803059082465918","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4448","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",43
136913,"LOEWE","LOEWE","LOEWE","Australia","Germany",108.037,4983.18,"LCD (LED)","0.26","36.6","1.0",73.7,"N/A","N/A",284,"Approved","2026-04-19","N/A","Single product class","Unavailable",3.5,"3.803059082465918","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4448","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",43
136915,"LOEWE","BILD 1.49","LOEWE","Australia","Germany",125.725,6751.36,"LCD (LED)","0.27","32.3","1.0",95.9,"N/A","N/A",364,"Approved","2026-04-20","N/A","Single product class","Unavailable",3.5,"3.904754114686561","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4449","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",49
136915,"LOEWE","BILD 2.49","LOEWE","Australia","Germany",125.725,6751.36,"LCD (LED)","0.27","32.3","1.0",95.9,"N/A","N/A",364,"Approved","2026-04-20","N/A","Single product class","Unavailable",3.5,"3.904754114686561","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4449","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",49
136915,"LOEWE","BILD 3.49","LOEWE","Australia","Germany",125.725,6751.36,"LCD (LED)","0.27","32.3","1.0",95.9,"N/A","N/A",364,"Approved","2026-04-20","N/A","Single product class","Unavailable",3.5,"3.904754114686561","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4449","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",49
136915,"LOEWE","LOEWE","LOEWE","Australia","Germany",125.725,6751.36,"LCD (LED)","0.27","32.3","1.0",95.9,"N/A","N/A",364,"Approved","2026-04-20","N/A","Single product class","Unavailable",3.5,"3.904754114686561","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4449","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",49
136917,"LOEWE","BILD 3.65","N/A","Australia","Germany",163.829,11466.84,"OLED","0.38","57.61","1.0",136,"N/A","N/A",520,"Approved","2026-04-15","N/A","Single product class","Unavailable",4.5,"4.503588370150543","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png","Internal","Digital","AS/NZS 62087.1:2010","ATV4444","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",64
137043,"HISENSE","55U8G","N/A","Australia","China",138.783,8230.118400000001,"LCD (LED)","0.346","0.0","0.0",111.93,"N/A","N/A",468,"Approved","2026-04-26","N/A","Single product class","Available",3.5,"3.5897619125363893","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4456","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",55
137047,"LINSAR","LS70UHDNF","N/A","Australia","China",176.563,13320.853056,"LCD (LED)","0.573","0.622","14.0",111.08,"N/A","N/A",429,"Approved","2026-05-03","N/A","Single product class","Available",6,"6.001278565074133","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4471","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",70
137382,"EKO","K75USG","K75USG","Australia","China",189.442,15337.79,"LCD (LED)","0.34","0.46","7.0",191.4,"N/A","N/A",758,"Approved","2026-04-16","N/A","Single product class","Available",4,"4.052634931284711","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4446","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",75
137382,"EKO","K750USG","K75USG","Australia","China",189.442,15337.79,"LCD (LED)","0.34","0.46","7.0",191.4,"N/A","N/A",758,"Approved","2026-04-16","N/A","Single product class","Available",4,"4.052634931284711","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4446","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",75
137383,"EKO","K550USG","N/A","Australia","China",138.897,8252.2,"LCD (LED)","0.34","0.34","7.0",72.3,"N/A","N/A",273,"Approved","2026-04-16","N/A","Single product class","Available",6,"6.016298854719112","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4447","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",55
137725,"LOEWE","BILD v.65","N/A","Australia","Germany",163.878,11481.120000000003,"OLED","0.35","60.3","1.0",135,"N/A","N/A",517,"Approved","2026-04-28","N/A","Single product class","Available",4.5,"4.534774123722858","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4464","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",65
137724,"LOEWE","BILD v.55","N/A","Australia","Germany",138.798,8228,"OLED","0.36","59.6","1.0",111,"N/A","N/A",429,"Approved","2026-04-27","N/A","Single product class","Unavailable",3.5,"3.97863327884949","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4460","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",55
138118,"EKO","K650USG","N/A","Australia","China",163.791,11473.08,"LCD (LED)","0.37","0.37","7.0",134.4,"N/A","N/A",580,"Approved","2026-05-10","N/A","Single product class","Available",4,"4.016518199742423","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4475","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",64
138186,"EKO","K85USW","N/A","Australia","China",214.637,19656,"LCD (LED)","0.35","0.0","0.0",305.2,"N/A","N/A",1116,"Approved","2026-05-10","N/A","Single product class","Available",3,"3.3875961767535685","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4477","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",85
138187,"BLAUPUNKT","BP50WOS","N/A","Australia","China",125.727,6754.5112,"LCD (LED)","0.38","0.0","0.0",78.3,"N/A","N/A",288,"Approved","2026-05-13","N/A","Single product class","Available",4.5,"4.956167795092916","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4483","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",49
138188,"EKO","K58USW","N/A","Australia","China",146.059,9161.78,"LCD (LED)","0.39","0.0","0.0",102.9,"N/A","N/A",378,"Approved","2026-05-10","N/A","Single product class","Available",4.5,"4.991584760760885","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4478","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",58
138623,"EKO","K65USW","N/A","Australia","China",163.888,11477.194,"LCD (LED)","0.32","0.0","0.0",127.8,"N/A","N/A",510,"Approved","2026-05-26","N/A","Single product class","Available",4.5,"4.594420943933631","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps","https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png","Internal","Analogue/Digital","AS/NZS 62087.1:2010","ATV4497","Greenhouse and Energy Minimum Standards (Televisions) Determination 2013",65
